Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Temperature (C)
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.1,96.6,22
10/1/2016 11:44,91,96.6,22
10/1/2016 11:44,91.1,96.7,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91.1,96.7,22
10/1/2016 11:44,91.1,96.7,22
10/1/2016 11:44,91.1,96.7,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.1,96.6,22
10/1/2016 11:44,91,96.6,22
10/1/2016 11:44,91.1,96.7,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:44,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.8,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.8,22
10/1/2016 11:45,91.3,96.8,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.2,96.8,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,97,22
10/1/2016 11:45,91.4,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:45,91.3,96.9,22
10/1/2016 11:46,91.3,96.9,22
10/1/2016 11:46,91.4,96.9,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.2,96.8,22
10/1/2016 11:46,91.3,96.9,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,96.9,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.3,96.9,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.4,96.9,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97,22
